date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:41	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2010:13:41%20GMT	https://www.anahotelandapartments.com/rooms.php	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/rooms.php	(from https://www.anahotelandapartments.com/)
11:13:41	37609/37609	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Jan%202024%2010:13:15%20GMT	https://www.anahotelandapartments.com/img/home-room/hotelpics16.jpg	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/img/home-room/hotelpics16.jpg	(from https://www.anahotelandapartments.com/)
11:13:41	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2010:13:41%20GMT	https://www.anahotelandapartments.com/rooms.php	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/rooms.php	(from https://www.anahotelandapartments.com/)
11:13:41	248453/248453	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2003:41:15%20GMT	https://www.anahotelandapartments.com/img/hero.jpg	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/img/hero.jpg	(from https://www.anahotelandapartments.com/)
11:13:41	71881/71881	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Jan%202024%2009:48:24%20GMT	https://www.anahotelandapartments.com/img/rooms/hotelpicss2.jpg	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/img/rooms/hotelpicss2.jpg	(from https://www.anahotelandapartments.com/)
11:13:42	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2010:13:42%20GMT	https://www.anahotelandapartments.com/rooms.php	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/rooms.php	(from https://www.anahotelandapartments.com/)
11:13:43	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2010:13:43%20GMT	https://www.anahotelandapartments.com/rooms.php	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/rooms.php	(from https://www.anahotelandapartments.com/)
11:13:43	129387/129387	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Feb%202024%2002:47:23%20GMT	https://www.anahotelandapartments.com/img/rooms/palatial2.jpg	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/img/rooms/palatial2.jpg	(from https://www.anahotelandapartments.com/)
11:13:46	179210/179210	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2003:41:14%20GMT	https://www.anahotelandapartments.com/img/chooseus-bg.jpg	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/img/chooseus-bg.jpg	(from https://www.anahotelandapartments.com/)
11:13:46	302303/302303	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Apr%202023%2003:41:15%20GMT	https://www.anahotelandapartments.com/img/testimonial-left.jpg	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/img/testimonial-left.jpg	(from https://www.anahotelandapartments.com/)
11:13:46	771/771	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2010:13:47%20GMT	https://www.anahotelandapartments.com/rooms.php	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/rooms.31.delayed	(from https://www.anahotelandapartments.com/)
11:13:47	84949/84949	---M--	200	added ('OK')	image/jpeg	date:Sat,%2023%20Dec%202023%2004:01:50%20GMT	https://www.anahotelandapartments.com/img/home-room/ana-about6.jpg	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/img/home-room/ana-about6.jpg	(from https://www.anahotelandapartments.com/)
11:13:47	52314/52314	---M--	200	added ('OK')	image/jpeg	date:Sat,%2023%20Dec%202023%2004:01:49%20GMT	https://www.anahotelandapartments.com/img/home-room/ana-about4.jpg	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/img/home-room/ana-about4.jpg	(from https://www.anahotelandapartments.com/)
11:13:47	35355/35355	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Apr%202023%2011:09:02%20GMT	https://www.anahotelandapartments.com/img/gallery/hotelpri.jpg	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/img/gallery/hotelpri.jpg	(from https://www.anahotelandapartments.com/)
11:13:48	50091/50091	---M--	200	added ('OK')	image/jpeg	date:Sat,%2023%20Dec%202023%2004:01:49%20GMT	https://www.anahotelandapartments.com/img/home-room/ana-about7.jpg	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/img/home-room/ana-about7.jpg	(from https://www.anahotelandapartments.com/)
11:13:48	45262/45262	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Apr%202023%2011:09:02%20GMT	https://www.anahotelandapartments.com/img/gallery/hotelpices.jpg	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/img/gallery/hotelpices.jpg	(from https://www.anahotelandapartments.com/)
11:13:49	68642/68642	---M--	200	added ('OK')	image/jpeg	date:Sat,%2023%20Dec%202023%2004:01:49%20GMT	https://www.anahotelandapartments.com/img/home-room/ana-about10.jpg	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/img/home-room/ana-about10.jpg	(from https://www.anahotelandapartments.com/)
11:13:49	80008/80008	---M--	200	added ('OK')	image/jpeg	date:Sat,%2023%20Dec%202023%2004:01:49%20GMT	https://www.anahotelandapartments.com/img/home-room/ana-about3.jpg	C:/xampp/htdocs/anahanda/anahanda/www.anahotelandapartments.com/img/home-room/ana-about3.jpg	(from https://www.anahotelandapartments.com/)
